Date,AAPL,GE,GOOG,IBM,MSFT
28-09-2010,35.65672684,11.68902016,262.600708,100.2288361,19.709095
29-09-2010,35.72013474,11.63213921,262.8597412,100.6672287,19.56535149
30-09-2010,35.27015686,11.55392551,261.9132996,99.67154694,19.55736351
01-10-2010,35.11727524,11.63213921,261.8286133,100.7861176,19.46951294
04-10-2010,34.63497925,11.44727612,260.199707,100.4963226,19.09418488
05-10-2010,35.9152832,11.73879051,268.1100464,102.2870407,19.44556236
06-10-2010,35.94635391,12.01608658,266.1773071,102.4208069,19.50945091
07-10-2010,35.95008469,12.12273788,264.0154114,103.0746765,19.58930779
08-10-2010,36.55293655,12.17250633,267.1735535,103.1712952,19.62124825
11-10-2010,36.71328354,12.05874252,268.4139099,103.7731628,19.6372261
12-10-2010,37.10856247,12.22227478,269.6841431,103.9143143,19.82888031
13-10-2010,37.30744171,12.28627205,270.6355896,104.3006973,20.23616028
14-10-2010,37.57716751,12.20094967,269.4550171,105.1403503,20.14831924
15-10-2010,39.12221909,11.58947945,299.6020203,104.8133698,20.39588165
18-10-2010,39.52744675,11.55392551,307.7016602,106.1285858,20.61948395
19-10-2010,38.46964264,11.42594337,302.7801208,102.5619736,20.04449463
20-10-2010,38.59892654,11.41172695,302.8548279,103.3347321,20.21220589
21-10-2010,38.47338104,11.44727612,304.8523254,103.8994751,20.30004883
22-10-2010,38.21855927,11.41883659,305.1213379,103.7805862,20.26809883
25-10-2010,38.38885117,11.41883659,307.0989075,103.9068985,20.11637115
26-10-2010,38.2906456,11.48993683,308.144989,104.523613,20.68336296
27-10-2010,38.26330566,11.45438766,307.0839844,105.0883179,20.8031559
28-10-2010,37.94137192,11.43305492,308.1350403,104.6944962,20.98683357
29-10-2010,37.41184998,11.39039612,305.7041321,106.7007141,21.29827499
01-11-2010,37.80961609,11.34062481,306.3517151,106.4926682,21.5218792
02-11-2010,38.45349121,11.33351326,306.6506042,106.8790436,21.87325859
03-11-2010,38.88108063,11.41883659,308.9320374,107.1242294,21.58576775
04-11-2010,39.56100464,11.73879051,310.9694214,109.0710297,21.67361259
05-11-2010,39.41930389,11.89521122,311.3728943,109.1676178,21.44202423
08-11-2010,39.60451126,11.88099194,312.2147522,109.3093948,21.41007805
09-11-2010,39.28878784,11.81700516,311.2433777,109.07061,21.5218792
10-11-2010,39.53116226,11.76723099,310.2770081,109.3766174,21.51390076
11-11-2010,39.35964203,11.62502766,307.442627,108.5406723,21.3062706
12-11-2010,38.28816223,11.55392551,300.5185852,107.2793961,20.9788475
15-11-2010,38.16511536,11.51837635,296.6231689,107.2047348,20.92294502
16-11-2010,37.48768616,11.27663231,290.7701111,106.1598587,20.73814011
17-11-2010,37.35217667,11.24108219,290.6854248,105.943428,20.54529953
18-11-2010,38.33789063,11.40461445,297.1661377,107.7420883,20.76224327
19-11-2010,38.12657928,11.5325985,294.3118591,108.2570801,20.64172745
22-11-2010,38.95068359,11.39750481,294.5061035,108.5108109,20.67386055
23-11-2010,38.37517929,11.20553017,290.4164429,106.8614349,20.18373299
24-11-2010,39.12967682,11.33351326,296.374115,108.8243027,20.38460541
26-11-2010,39.1545372,11.2339716,293.898407,107.3987656,20.28818512
29-11-2010,39.38699341,11.35484409,289.9681396,106.6449585,20.33639336
30-11-2010,38.67597961,11.2553072,276.8174133,105.577713,20.29622269
01-12-2010,39.32855988,11.58947945,281.1212769,107.7794266,20.92294502
02-12-2010,39.54607391,11.85966492,284.8423462,108.3540878,21.60590935
03-12-2010,39.45783997,11.93076134,285.4301453,108.5033951,21.7103653
06-12-2010,39.79469299,11.87388039,288.1001282,108.2122955,21.56573677
07-12-2010,39.55355072,12.10851669,292.4737244,107.4883575,21.58984566
08-12-2010,39.901577,12.11562634,294.1673889,108.2048492,21.8791008
09-12-2010,39.74621201,12.1796217,294.6455994,107.6973038,21.75857925
10-12-2010,39.8456459,12.59911442,294.9992676,108.0854263,21.96748352
13-12-2010,39.98362732,12.52801418,296.1997681,107.6823959,21.89517021
14-12-2010,39.81209183,12.57778454,296.3442383,108.8317947,22.19246483
15-12-2010,39.82079315,12.43558121,294.0478516,108.0107803,22.37726402
16-12-2010,39.93141556,12.63466835,294.7502136,107.8838882,22.48975754
17-12-2010,39.85186005,12.58489418,294.2969055,108.2197495,22.4174366
20-12-2010,40.05073929,12.58489418,296.4189453,107.8540192,22.34512711
21-12-2010,40.29810333,12.7270937,300.4089966,108.7720642,22.55403709
22-12-2010,40.41743088,12.94616795,301.6144714,108.928772,22.65044785
23-12-2010,40.22352219,12.93182659,300.9868164,108.8839951,22.73883057
27-12-2010,40.35777664,13.03935432,300.0652771,108.473526,22.55403709
28-12-2010,40.45596313,13.13254166,298.3417358,108.7496948,22.50582504
29-12-2010,40.43360138,13.09670258,299.3778687,109.3542175,22.47368813
30-12-2010,40.23097992,13.03935432,298.3118591,109.4661407,22.37726402
31-12-2010,40.09425354,13.11103725,295.8759766,109.5333252,22.42547607
03-01-2011,40.96559143,13.10386658,301.0466003,110.070694,22.48171997
04-01-2011,41.17939758,13.34042168,299.9357605,110.1901093,22.57010841
05-01-2011,41.5162468,13.36192989,303.3977966,109.7497635,22.49778557
06-01-2011,41.48268127,13.30458355,305.6045227,110.9513779,23.15665054
07-01-2011,41.77976227,13.21139431,307.0690308,110.4065323,22.97987938
10-01-2011,42.56658936,13.26873779,305.9581909,110.1901093,22.67455482
11-01-2011,42.46589661,13.35476303,306.8548279,109.9214172,22.58617401
12-01-2011,42.81144714,13.3834362,307.2832336,111.2797623,22.93971062
13-01-2011,42.96806717,13.33325577,307.193573,111.0707703,22.65044785
14-01-2011,43.31611252,13.49096584,310.9245911,111.9514999,22.73883057
18-01-2011,42.3428421,13.33325577,318.6207275,112.436615,23.02809525
19-01-2011,42.1178627,13.13970947,314.6954346,116.198143,22.87543297
20-01-2011,41.35216141,13.21139431,312.2147522,116.2802734,22.77900887
21-01-2011,40.61133957,14.15045834,304.772644,116.0563736,22.51386452
24-01-2011,41.9450798,14.36550808,304.3990479,119.1387558,22.80311775
25-01-2011,42.43606949,14.32249737,308.7975464,120.4896545,22.85936165
26-01-2011,42.74060059,14.27948761,307.0989075,120.1911011,23.12451172
27-01-2011,42.66104507,14.53754997,307.2433777,120.2134857,23.19682312
28-01-2011,41.77728653,14.48020077,299.3728638,118.8253021,22.29691315
